0,1,2
715923.0,33.956897,-118.110532
715925.0,33.958225,-118.11239
715926.0,33.95891,-118.113036
715929.0,33.971707,-118.123095
715932.0,33.97646,-118.125953
715933.0,33.981839,-118.130679
715938.0,34.002541,-118.150997
715941.0,34.007592,-118.157266
715947.0,34.015325,-118.17127
715968.0,34.095413,-118.243957
715972.0,34.120764,-117.88843
715990.0,34.211259,-118.347597
715991.0,34.212728,-118.349041
715992.0,34.221104,-118.358957
715993.0,34.221822,-118.364915
715995.0,34.225778,-118.375075
715996.0,34.243318,-118.42108
715998.0,34.227093,-118.389006
715999.0,34.226944,-118.389042
716003.0,34.244193,-118.42169
716005.0,34.24614,-118.423735
716008.0,34.358847,-118.554053
716013.0,34.408604,-118.576573
716014.0,34.420911,-118.582284
716018.0,34.454192,-118.615941
716023.0,34.571045,-118.689102
716025.0,34.709779,-118.796647
716026.0,34.117595,-117.844142
716028.0,34.055167,-118.216535
716030.0,34.031647,-118.41534
716041.0,34.03577,-118.371368
716046.0,34.03448,-118.348667
716054.0,34.036614,-118.31917
716061.0,34.037222,-118.302221
716069.0,34.053806,-118.208214
716071.0,34.053753,-118.205692
716075.0,34.055306,-118.192689
716076.0,34.055573,-118.192729
716078.0,34.055285,-118.185874
716081.0,34.059959,-118.174416
716085.0,34.061918,-118.162504
716087.0,34.065882,-118.155495
716088.0,34.066326,-118.155441
716091.0,34.071793,-118.143409
716092.0,34.071251,-118.141723
716093.0,34.071335,-118.135155
716094.0,34.071644,-118.135158
716095.0,34.071342,-118.133569
716096.0,34.071662,-118.133572
716097.0,34.071438,-118.123947
716098.0,34.071803,-118.123604
716099.0,34.071457,-118.122386
716101.0,34.071889,-118.117349
716103.0,34.071665,-118.10937
716104.0,34.072021,-118.108838
716105.0,34.07168,-118.107635
716106.0,34.072053,-118.107276
716107.0,34.071731,-118.100852
716108.0,34.072192,-118.100669
716109.0,34.071766,-118.098584
716110.0,34.072118,-118.09858
716111.0,34.071834,-118.091958
716113.0,34.07186,-118.089866
716114.0,34.072253,-118.089691
716115.0,34.071945,-118.082543
716116.0,34.072342,-118.082856
716117.0,34.072457,-118.074173
716118.0,34.072071,-118.074173
716119.0,34.072494,-118.07208
716120.0,34.072083,-118.071554
716121.0,34.072102,-118.06879
716124.0,34.072661,-118.059491
716126.0,34.071934,-118.051536
716127.0,34.069271,-118.044184
716128.0,34.06847,-118.040429
716129.0,34.068078,-118.030663
716131.0,34.068199,-118.025926
716132.0,34.06699,-118.019773
716134.0,34.064175,-118.008013
716136.0,34.067663,-117.981905
716137.0,34.06769,-117.980138
716138.0,34.067905,-117.979831
716142.0,34.117595,-117.844142
716183.0,34.072803,-117.785705
716184.0,34.072978,-117.784144
716187.0,34.071766,-117.769758
716188.0,34.071029,-117.761475
716189.0,34.073286,-117.753978
716190.0,34.075604,-117.74786
716191.0,34.077146,-117.744573
716192.0,34.079138,-117.739234
716193.0,34.081731,-117.72793
716195.0,34.081821,-117.721638
716196.0,34.081722,-117.71693
716197.0,33.960273,-117.855729
716199.0,33.971554,-117.846408
716200.0,33.981951,-117.842186
716201.0,33.988721,-117.842841
716215.0,34.035723,-118.151516
716216.0,34.034219,-118.148257
716229.0,34.040308,-118.054105
716231.0,34.03958,-118.051399
716233.0,34.037915,-118.040413
716234.0,34.037428,-118.039136
716237.0,34.031123,-118.02136
716238.0,34.03138,-118.02126
716240.0,34.029247,-118.008439
716241.0,34.012079,-117.980022
716243.0,34.007035,-117.965011
716245.0,34.006822,-117.963815
716246.0,34.00598,-117.961572
716249.0,33.997875,-117.934513
716252.0,33.996462,-117.928294
716253.0,33.996291,-117.924633
716255.0,33.994319,-117.908132
716256.0,33.994314,-117.904483
